player_id,player_name
608597,Ronald Guzman
571745,Mitch Haniger
571788,Brock Holt
622682,Victor Reyes
600303,Tommy La Stella
518618,Derek Dietrich
572287,Mike Zunino
572816,Corey Dickerson
543768,Travis Shaw
542932,Jon Berti
457705,Andrew McCutchen
664238,Dylan Moore
647304,Josh Naylor
488771,Jason Castro
467055,Pablo Sandoval
621453,Steven Duggar
457708,Justin Upton
457727,Cameron Maybin
519390,Stephen Vogt
663586,Austin Riley
656669,Jordan Luplow
605170,Victor Caratini
527038,Wilmer Flores
571980,Tyler Naquin
501571,Juan Lagares
640447,Phillip Ervin
607043,Brandon Nimmo
435079,Ian Kinsler
474568,Jordy Mercer
467827,Gerardo Parra
543305,Aaron Hicks
642165,Josh VanMeter
431145,Russell Martin
435559,Kurt Suzuki
591741,Jose Osuna
543592,Austin Nola
500135,Ronny Rodriguez
641856,Billy McKinney
621439,Byron Buxton
649966,Luis Urias
621563,Joey Wendle
547982,Leonys Martin
608475,Dawel Lugo
445988,Martin Prado
643393,Tony Kemp
459964,Matt Joyce
456078,Welington Castillo
493596,Gordon Beckham
641796,Tim Locastro
641477,Ryan Cordell
621002,Daniel Robertson
607461,Matt Beaty
656514,Adam Haseley
640449,Clint Frazier
641553,Adam Engel
542979,Keon Broxton
656185,Greg Allen
621446,Lewis Brinson
592200,Curt Casali
608365,Addison Russell
571875,Jake Lamb
605131,Austin Barnes
425772,Jeff Mathis
541650,Hernan Perez
595909,Jake Cave
628338,Guillermo Heredia
649557,Aledmys Diaz
456781,Donovan Solano
542255,Ender Inciarte
642336,Francisco Mejia
606157,Aristides Aquino
622666,Johan Camargo
666182,Bo Bichette
519222,Austin Romine
501303,Ehire Adrianza
606988,Grayson Greiner
488671,Alex Avila
642082,Chance Sisco
643396,Isiah Kiner-Falefa
502273,Mike Freeman
434778,Kendrys Morales
669257,Will Smith
571657,Kyle Farmer
656371,Isan Diaz
518614,Daniel Descalso
588751,Adeiny Hechavarria
596103,Austin Slater
664034,Ty France
607345,Kevan Smith
592122,Tyler Austin
572073,Joey Rickard
641513,Travis Demeritte
572008,Chris Owings
545121,Ildemaro Vargas
642086,Dominic Smith
446308,Matt Wieters
506702,Sandy Leon
663757,Trent Grisham
475582,Ryan Zimmerman
501896,David Freese
444489,Manny Pina
607732,Jacob Stallings
571506,Justin Bour
628356,Jung Ho Kang
543105,Alex Dickerson
445055,Jon Jay
642136,Matt Thaiss
450314,Ben Zobrist
592387,Ryon Healy
621573,Austin Dean
663993,Nate Lowe
605490,Bubba Starling
570256,Gregory Polanco
572365,Ryan Goins
602922,Jose Rondon
622110,Matt Duffy
455104,Chris Iannetta
605233,Derek Fisher
448602,Mark Reynolds
643418,Shed Long
543543,Brad Miller
645801,Mike Ford
622168,Yairo Munoz
608700,Kevin Plawecki
595284,Andrew Knapp
668942,Josh Rojas
465041,Francisco Cervelli
471865,Carlos Gonzalez
664023,Ian Happ
622569,Pablo Reyes
607752,Sam Travis
657061,Cole Tucker
607776,Mac Williamson
641933,Tyler O'Neill
456488,Eduardo Nunez
605508,Charlie Tilson
650619,Meibrys Viloria
670712,Michael Brosseau
553902,Willians Astudillo
446481,Sean Rodriguez
595956,Cam Gallagher
527049,Cesar Puello
621466,DJ Stewart
664702,Myles Straw
593523,Marco Hernandez
518586,Charlie Culberson
545358,Max Stassi
594694,Wilmer Difo
669256,Nick Solak
668670,Jake Rogers
543281,Josh Harrison
600858,Humberto Arteaga
546318,Odubel Herrera
594807,Adam Duvall
570481,Erik Gonzalez
446263,Lucas Duda
621005,Tim Lopes
592407,Bryan Holaday
571697,Scooter Gennett
571912,Luke Maile
594011,Rosell Herrera
595375,JT Riddle
624431,Jose Trevino
621512,Tomas Nido
605361,Nick Martini
608384,Nick Williams
641470,Zack Collins
596451,Roman Quinn
607054,Jace Peterson
456665,Steve Pearce
650489,Willi Castro
643289,Mauricio Dubon
576397,Jedd Gyorko
542364,Rafael Ortega
596119,Blake Swihart
572863,Dustin Garneau
605486,Cory Spangenberg
446359,Zack Cozart
641505,Jonathan Davis
572191,Michael A. Taylor
642180,Tyler Wade
594953,Daniel Palka
656541,Sam Hilliard
602074,Yonathan Daza
594988,Scott Schebler
543302,Chris Herrmann
460576,Carlos Gomez
624512,Reese McGuire
665120,Jared Walsh
543148,Tim Federowicz
666158,Gavin Lux
595981,Scott Heineman
643436,Ryan McBroom
647351,Abraham Toro
644374,Yu Chang
541600,Wilfredo Tovar
664913,Seth Brown
518516,Madison Bumgarner
596825,Robel Garcia
502117,Kristopher Negron
605474,Matt Skole
544931,Stephen Strasburg
642162,Pat Valaika
621433,Brett Phillips
519317,Giancarlo Stanton
642721,Kelvin Gutierrez
500208,Yangervis Solarte
605196,Kevin Cron
641786,Kyle Lewis
641645,Luis Guillorme
663538,Nico Hoerner
656775,Cedric Mullins
547170,Nicky Delmonico
663898,Brendan Rodgers
669720,Austin Hays
620446,Richard Urena
573135,Tyler Saladino
621111,Walker Buehler
605400,Aaron Nola
491696,Jesus Sucre
642851,Austin Wynns
571974,John Ryan Murphy
571437,Aaron Altherr
592680,Yadiel Rivera
594838,Phil Gosselin
460026,Nick Hundley
621458,Edwin Rios
547943,Hyun-Jin Ryu
641914,Sheldon Neuse
592789,Noah Syndergaard
663656,Kyle Tucker
543377,Corban Joseph
664774,LaMonte Wade Jr
669221,Sean Murphy
664119,Austin Allen
594798,Jacob deGrom
608331,Max Fried
506433,Yu Darvish
623323,Braden Bishop
656427,Jack Flaherty
543309,Kyle Higashioka
571578,Patrick Corbin
608686,Jack Mayfield
491676,Gorkys Hernandez
620439,Franklin Barreto
645261,Sandy Alcantara
664926,Nick Dini
477132,Clayton Kershaw
605253,Terrance Gore
461314,Matt Kemp
543776,JB Shuck
624414,Christian Arroyo
434670,Hanley Ramirez
642731,Thairo Estrada
605200,Zach Davies
596012,Kevin Kramer
607468,Alex Blandino
605421,Michael Perez
621532,Anthony Bemboom
453286,Max Scherzer
595453,Chad Wallach
547179,Michael Lorenzen
658069,Josh Fuentes
452657,Jon Lester
543294,Kyle Hendricks
647336,Mike Soroka
554430,Zack Wheeler
641684,Michael Hermosillo
435064,Bobby Wilson
425794,Adam Wainwright
518653,Jake Elmore
664192,Joey Lucchesi
543243,Sonny Gray
607223,AJ Reed
621493,Taylor Ward
518876,Merrill Kelly
595885,Greg Bird
591971,Breyvic Valera
527054,Julio Teheran
622491,Luis Castillo
502188,Jeff Samardzija
571945,Miles Mikolas
657434,Brian O'Grady
592662,Robbie Ray
624513,Dom Nunez
664247,Kyle Garlick
598284,Peter O'Brien
605540,Brandon Woodruff
668800,Andrew Knizner
605244,Aramis Garcia
592351,Jon Gray
628317,Kenta Maeda
657145,Mark Zagunis
608715,Eric Stamets
543194,Isaac Galloway
656252,Bobby Bradley
605397,Joe Musgrove
641712,Dakota Hudson
571927,Steven Matz
640460,Dustin Peterson
456124,Erik Kratz
460077,Drew Butera
453562,Jake Arrieta
543101,Anthony DeSclafani
664057,Andrew Stevenson
434671,Anibal Sanchez
500779,Jose Quintana
543475,Jordan Lyles
621107,Zach Eflin
450306,Jason Vargas
593700,Alen Hanson
425844,Zack Greinke
664041,Jaylin Davis
657041,Lane Thomas
609280,Miguel Andujar
488721,Peter Bourjos
641829,Jason Martin
502624,Chase Anderson
592660,Rangel Ravelo
592866,Trevor Williams
572971,Dallas Keuchel
666198,Carter Kieboom
663978,Chris Paddack
430935,Cole Hamels
593647,Socrates Brito
595881,Tyler Beede
641778,Eric Lauer
641584,Jake Fraley
664901,Danny Mendick
608566,German Marquez
622608,Antonio Senzatela
501659,Abraham Almonte
489149,Logan Morrison
502042,Chris Archer
543376,Caleb Joseph
643230,Steven Brault
608379,Michael Wacha
592761,Caleb Smith
641816,Tyler Mahle
621559,Max Moroff
642423,Magneuris Sierra
641154,Pablo Lopez
592826,Vince Velasquez
607333,Beau Taylor
670950,Trevor Richards
623180,Seth Mejias-Brean
444432,Mark Trumbo
506703,Adrian Sanchez
592314,Mike Foltynewicz
596117,Garrett Stubbs
592863,Mason Williams
663567,Peter Lambert
546990,Anthony Alford
642736,Domingo Leyba
625510,Erick Mejia
621550,Patrick Wisdom
468504,Jhoulys Chacin
607536,Kyle Freeland
543699,Tanner Roark
534606,Ryan LaMarre
595222,Mike Gerber
622065,Alex Young
601713,Nick Pivetta
623205,Andrew Velazquez
615698,Cal Quantrill
606956,Ryan Court
641312,Shaun Anderson
605288,Adrian Houser
614173,Franchy Cordero
543484,Mikie Mahtook
542436,Cristhian Adames
461829,Gio Gonzalez
434658,Rajai Davis
592346,Chi Chi Gonzalez
621381,Matt Strahm
668227,Randy Arozarena
657141,Jordan Yamamoto
592332,Kevin Gausman
592230,Kaleb Cowart
605446,Dereck Rodriguez
475247,Ryan Flaherty
664199,Taylor Clarke
622694,Elieser Hernandez
517369,Jose Pirela
543089,Taylor Davis
571679,David Freitas
545333,Trevor Bauer
608671,Travis Jankowski
425784,Rene Rivera
622046,Chris Shaw
622268,Donnie Walton
543022,Tyler Chatwood
643327,Zack Godley
642221,Kean Wong
668678,Zac Gallen
548389,Ross Stripling
593528,Jorge Bonifacio
502190,Mike Leake
624407,Tzu-Wei Lin
570632,Jose Urena
456030,Dustin Pedroia
573186,Marcus Stroman
448179,Rich Hill
543432,Ryan Lavarnway
592767,Drew Smyly
641878,Ian Miller
676606,Nick Margevicius
605452,Joe Ross
596133,Luke Weaver
659275,Dinelson Lamet
592620,Jarrett Parker
642607,Dario Agrazal
656546,Jeff Hoffman
607200,Erick Fedde
595191,Jerad Eickhoff
606992,Eric Haase
608339,Zach Green
518542,Juan Centeno
628711,Julio Urias
519141,Drew Pomeranz
656582,Connor Joe
620443,Luis Torrens
453064,Troy Tulowitzki
502706,Derek Holland
476451,Jeremy Hellickson
492802,Juan Graterol
502570,Rocky Gale
605548,Bradley Zimmer
664874,Seby Zavala
571467,Steven Baron
642547,Freddy Peralta
643524,Frank Schwindel
591720,Ronald Torreyes
623168,Tyler Heineman
664062,Tony Gonsolin
594965,Daniel Ponce de Leon
669738,Jake Noll
669160,Dustin May
621438,Tyrone Taylor
600466,Raudy Read
657053,Touki Toussaint
621450,Skye Bolt
656713,Brendan McKay
656605,Mitch Keller
622072,Alex Wood
656577,Alex Jackson
657277,Logan Webb
476704,Jed Lowrie
656725,Alex McRae
592791,Jameson Taillon
605439,Michael Reed
501985,Mike Minor
669060,Bryse Wilson
608344,Cole Irvin
621219,Alec Mills
641924,Jacob Nottingham
542881,Tyler Anderson
593334,Domingo German
656794,Sean Newcomb
641541,Jon Duplantier
592468,Nick Kingham
667498,Robert Dugger
543532,Tim Melville
641745,Brad Keller
605513,Spencer Turnbull
608371,Lucas Sims
593958,Eduardo Rodriguez
623214,Abiatal Avelino
514913,Ruben Tejada
621141,Walker Lockett
669203,Corbin Burnes
572020,James Paxton
400085,Ichiro Suzuki
518452,Chad Bettis
620453,Deivy Grullon
596057,Daniel Norris
542882,Matt Andriese
518568,Christian Colon
606131,Luis Perdomo
608723,Austin Voth
543037,Gerrit Cole
622786,Jesus Tinoco
624641,Edmundo Sosa
664353,Jose Urquidy
630111,Yasmany Tomas
519008,T.J. McFarland
571863,Matt Koch
489119,Wade Miley
592685,Drew Robinson
474463,Brett Anderson
594835,Marco Gonzales
624419,Nick Ciuffo
467100,Ivan Nova
621244,Jose Berrios
669456,Shane Bieber
612672,Wei-Yin Chen
657566,Montana DuRapau
519144,Rick Porcello
518633,Danny Duffy
458708,Josh Tomlin
657140,Kyle Wright
543557,Mike Montgomery
451192,Jim Adduci
621086,James Marvel
624133,Ranger Suarez
608717,Chris Stratton
605280,Clay Holmes
664059,Sam Haggerty
623515,Drew Jackson
571918,Deven Marrero
446868,Wilkin Castillo
456501,Johnny Cueto
502043,Kyle Gibson
429719,Edwin Jackson
650893,Genesis Cabrera
605135,Chris Bassitt
640470,Adbert Alzolay
625643,Reynaldo Lopez
622075,Yency Almonte
608337,Lucas Giolito
671790,Ronald Bolanos
605156,Aaron Brooks
434538,Francisco Liriano
663531,Logan Allen
572140,Tyler Skaggs
456051,Hector Noesi
607231,John Gant
542960,Brad Brach
448281,Sean Doolittle
664208,Phil Maton
433587,Felix Hernandez
571946,Shelby Miller
658792,Aaron Wilkerson
664854,Ryan Helsley
282332,CC Sabathia
643275,Johnny Davis
621097,Jacob Waguespack
594986,Kyle Ryan
501381,Michael Pineda
456701,Homer Bailey
656222,Jalen Beeks
519076,Jimmy Nelson
594840,Matt Grace
607644,John Means
641149,Wes Parsons
523260,Joe Kelly
572362,Robbie Erlin
605276,David Hess
607391,Chris Mazza
450203,Charlie Morton
592779,Brock Stewart
605498,Andrew Suarez
521655,Wilmer Font
594987,Casey Sadler
606149,Giovanny Gallegos
543351,Jay Jackson
543606,Jake Odorizzi
543883,Nick Vincent
543548,Tommy Milone
570240,Felix Pena
504379,Juan Nicasio
543193,Drew Gagnon
458681,Lance Lynn
457915,Javy Guerra
502239,Trevor Cahill
592229,Dylan Covey
642073,Jimmie Sherfy
527048,Martin Perez
543135,Nathan Eovaldi
642701,Dennis Santana
657571,Caleb Ferguson
446321,Ross Detwiler
543001,Ryan Carpenter
605164,Dylan Bundy
448855,Junior Guerra
605520,Mitch Walding
621261,Corey Oswalt
607219,Sal Romano
519455,Jordan Zimmermann
571917,Parker Markel
663776,Patrick Sandoval
613534,Austin Adams
596043,Daniel Mengden
518553,Steve Cishek
643354,Donnie Hart
669214,Conner Menez
489334,Craig Stammen
650644,Aaron Civale
656977,Chad Sobotka
657024,Erik Swanson
621529,Joe Hudson
608718,Brent Suter
605182,Mike Clevinger
628452,Raisel Iglesias
607192,Tyler Glasnow
623364,Brad Wieck
592644,Adam Plutko
592102,Cody Allen
663423,Trent Thornton
605347,Jorge Lopez
592716,Adrian Sampson
650813,Luis Escobar
572070,Garrett Richards
593423,Frankie Montas
453281,Wade LeBlanc
457918,J.A. Happ
650671,Jose Quijada
607572,Sam Howard
656887,Sean Reid-Foley
606273,Roenis Elias
607229,Robert Gsellman
592717,Aaron Sanchez
664196,Tanner Anderson
592741,Chasen Shreve
643338,Chad Green
445926,Jesse Chavez
643615,T.J. Zeuch
664045,Tom Eshelman
571670,Dylan Floro
621389,Ty Blach
445276,Kenley Jansen
642098,Glenn Sparkman
592879,Asher Wojciechowski
623352,Josh Hader
519293,Will Smith
663465,Kolby Allard
594311,Jandel Gustave
593576,Hector Neris
488768,Andrew Cashner
571510,Matthew Boyd
554340,Yimi Garcia
622492,Keury Mella
630023,Yonny Chirinos
